model,theta_self,converged,task,acc,psi_self,params_b,family,floor_flag
gemini_3_flash_preview,4.095844916243606,TRUE,trog,0.9686868686868687,60.09008880694258,NA,gemini_3_flash_preview,FALSE
gemini_pro,3.0815766705614607,TRUE,trog,0.9285159285159286,21.792735287436717,NA,gemini_pro,FALSE
gemma4-26B-A4B-it,2.2655806774360214,TRUE,trog,0.8686868686868687,9.636718801905557,NA,gemma4-26B,FALSE
gemma4-31B-it,3.470861784207373,TRUE,trog,0.9474747474747475,32.164449318826954,31,gemma4,FALSE
gemma4-E2B-it,-0.842751938459338,TRUE,trog,0.341010101010101,0.4305241158454215,2,gemma4,TRUE
gemma4-E4B-it,1.0240324207703493,TRUE,trog,0.7078477078477079,2.7844000291191855,4,gemma4,FALSE
gpt53,3.648940707061071,TRUE,trog,0.9545454545454546,38.43393168557953,NA,gpt53,FALSE
gpt55,4.134377544678364,TRUE,trog,0.9696969696969697,62.45070619526113,NA,gpt55,FALSE
internvl35-14B,1.3839977701245503,TRUE,trog,0.7640036730945822,3.990824176608353,14,internvl35,FALSE
internvl35-1B,-0.3003137704929029,TRUE,trog,0.4508723599632691,0.7405858102471382,1,internvl35,FALSE
internvl35-2B,0.13044919275343275,TRUE,trog,0.5399449035812672,1.1393400516920726,2,internvl35,FALSE
internvl35-38B,2.3117940707170734,TRUE,trog,0.8729399255715046,10.092515108202376,38,internvl35,FALSE
internvl35-4B,0.8168956257853179,TRUE,trog,0.6721763085399449,2.2634622856314794,4,internvl35,FALSE
internvl35-8B,1.0918458084238378,TRUE,trog,0.71900826446281,2.979769082508699,8,internvl35,FALSE
qwen35-0.8B,-0.9886264073915147,TRUE,trog,0.31313131313131315,0.37208743671626976,0.8,qwen35,TRUE
qwen35-27B,2.620314666622677,TRUE,trog,0.8985088985088985,13.740046438921707,27,qwen35,FALSE
qwen35-2B,0.37735429261690173,TRUE,trog,0.5895316804407713,1.458420925615442,2,qwen35,FALSE
qwen35-4B,1.6284692181005602,TRUE,trog,0.7976911976911977,5.096067776387943,4,qwen35,FALSE
qwen35-9B,2.2853840785678776,TRUE,trog,0.8705234159779615,9.82946078432816,9,qwen35,FALSE
smolvlm2-2.2B,-1.4160288674824426,TRUE,trog,0.23803249890206413,0.24267580371700423,2.2,smolvlm2,TRUE
smolvlm2-256M,-1.304857696731244,TRUE,trog,0.25650443832262015,0.27121112652951573,0.256,smolvlm2,TRUE
smolvlm2-500M,-1.3613623744669803,TRUE,trog,0.24701561065197428,0.25631134694566643,0.5,smolvlm2,TRUE
tinyllava-3.1B,-0.9255377873909212,TRUE,trog,0.325068870523416,0.3963182268089047,3.1,tinyllava,TRUE
gemini_3_flash_preview,6.57253270562577,TRUE,vocab,0.9941176470588236,715.1788888709594,NA,gemini_3_flash_preview,FALSE
gemini_pro,6.572532706477517,TRUE,vocab,0.9941176470588236,715.178889480111,NA,gemini_pro,FALSE
gemma4-26B-A4B-it,5.117093274849373,TRUE,vocab,0.9862745098039216,166.8496779217454,NA,gemma4-26B,FALSE
gemma4-31B-it,6.104786390567055,TRUE,vocab,0.9923529411764705,447.9969348626129,31,gemma4,FALSE
gemma4-E2B-it,-0.11198472019798911,TRUE,vocab,0.4903529411764706,0.8940579184239686,2,gemma4,FALSE
gemma4-E4B-it,2.7913285473441594,TRUE,vocab,0.9226244343891403,16.302664282081093,4,gemma4,FALSE
gpt53,6.403565981438755,TRUE,vocab,0.9935294117647059,603.9950372567678,NA,gpt53,FALSE
gpt55,6.5725001380951404,TRUE,vocab,0.9941176470588236,715.1555976398614,NA,gpt55,FALSE
internvl35-14B,3.4409988577446047,TRUE,vocab,0.953475935828877,31.218125066063827,14,internvl35,FALSE
internvl35-1B,0.5974635442738749,TRUE,vocab,0.6443850267379679,1.8175029331717203,1,internvl35,FALSE
internvl35-2B,1.7670406858267504,TRUE,vocab,0.8331550802139037,5.8535053435991395,2,internvl35,FALSE
internvl35-38B,4.52945717739286,TRUE,vocab,0.9795665634674923,92.70822330162926,38,internvl35,FALSE
internvl35-4B,2.417123443740614,TRUE,vocab,0.8967914438502674,11.213556450654966,4,internvl35,FALSE
internvl35-8B,2.948533586898389,TRUE,vocab,0.9315508021390374,19.077957039738127,8,internvl35,FALSE
qwen35-0.8B,-0.03134629095734298,TRUE,vocab,0.5085561497326203,0.9691399105735038,0.8,qwen35,FALSE
qwen35-27B,6.572532706943055,TRUE,vocab,0.9941176470588236,715.1788898130538,27,qwen35,FALSE
qwen35-2B,2.44462345059833,TRUE,vocab,0.8989304812834225,11.526208594639044,2,qwen35,FALSE
qwen35-4B,5.055094661833548,TRUE,vocab,0.9857142857142858,156.81937445109338,4,qwen35,FALSE
qwen35-9B,5.9052408670931715,TRUE,vocab,0.9914438502673797,366.95560267283645,9,qwen35,FALSE
smolvlm2-2.2B,-1.3342465170244424,TRUE,vocab,0.23657289002557544,0.2633565353821426,2.2,smolvlm2,TRUE
smolvlm2-256M,-1.293203360293145,TRUE,vocab,0.24367201426024956,0.27439040243439344,0.256,smolvlm2,TRUE
smolvlm2-500M,-1.233258290616374,TRUE,vocab,0.25427807486631016,0.29134175338989726,0.5,smolvlm2,TRUE
tinyllava-3.1B,-0.24433173046507872,TRUE,vocab,0.46042780748663104,0.7832277706502867,3.1,tinyllava,FALSE
gemini_3_flash_preview,3.749893271035198,TRUE,egma-math,0.94972067039106145,42.51654401117039,NA,gemini_3_flash_preview,FALSE
gemini_pro,3.9658023176123924,TRUE,egma-math,0.9567039106145251,52.76258476322353,NA,gemini_pro,FALSE
gemma4-26B-A4B-it,3.0771308339187633,TRUE,egma-math,0.9211669770328988,21.696063399292875,NA,gemma4-26B,FALSE
gemma4-31B-it,3.3480960156348916,TRUE,egma-math,0.9340782122905028,28.44851651520804,31,gemma4,FALSE
gemma4-E2B-it,0.25313554690437545,TRUE,egma-math,0.5756424581005587,1.2880578572576529,2,gemma4,FALSE
gemma4-E4B-it,1.0197035438716826,TRUE,egma-math,0.7142243231628707,2.7723727552322863,4,gemma4,FALSE
gpt53,4.234829300927815,TRUE,egma-math,0.964245810055866,69.04989097514313,NA,gpt53,FALSE
gpt55,4.1099418209567595,TRUE,egma-math,0.9608938547486033,60.94317185104962,NA,gpt55,FALSE
internvl35-14B,3.1090857320297904,TRUE,egma-math,0.9228034535297105,22.400554925854642,14,internvl35,FALSE
internvl35-1B,0.06293745051315192,TRUE,egma-math,0.5378364652107669,1.0649602244324146,1,internvl35,FALSE
internvl35-2B,1.6426109087407683,TRUE,egma-math,0.8024377856780092,5.168646775670737,2,internvl35,FALSE
internvl35-38B,4.141919498581119,TRUE,egma-math,0.9617759482505146,62.92348714763302,38,internvl35,FALSE
internvl35-4B,1.8081366945578607,TRUE,egma-math,0.8217369222955815,6.099072403144116,4,internvl35,FALSE
internvl35-8B,1.9355730530037238,TRUE,egma-math,0.8354494667343829,6.928013036731856,8,internvl35,FALSE
qwen35-0.8B,-0.0378654340982596,TRUE,egma-math,0.5175215845606908,0.9628424979429929,0.8,qwen35,FALSE
